20161122:11403684 |[UPDATE][pSwitch2] pSwitch_Latency(10) 

20161122:11403684 |[UPDATE][pSwitch2] pSwitch_Latency(11) 

20161122:11403684 |[UPDATE][pSwitch2] pSwitch_Latency(12) 

20161122:11403684 |[UPDATE][pSwitch2] pSwitch_Latency(12) 

20161122:11403684 |[UPDATE][pSwitch2] pSwitch_Latency(10) 

20161122:11403684 |[UPDATE][pSwitch2] pSwitch_Latency(11) 

20161122:11413681 |[UPDATE][pSwitch1] pSwitch_Latency(10) 

20161122:11413681 |[UPDATE][pSwitch1] pSwitch_Latency(13) 

20161122:11413681 |[UPDATE][pSwitch1] pSwitch_Latency(13) 

20161122:11413681 |[UPDATE][pSwitch1] pSwitch_Latency(12) 

20161122:11413681 |[UPDATE][pSwitch1] pSwitch_Latency(13) 

20161122:11413681 |[UPDATE][pSwitch1] pSwitch_Latency(10) 

20161122:11413681 |[UPDATE][pSwitch1] pSwitch_Latency(10) 

20161122:11413681 |[UPDATE][pSwitch1] pSwitch_Latency(10) 

20161122:11413681 |[UPDATE][pSwitch1] pSwitch_Latency(10) 

20161122:11413681 |[UPDATE][pSwitch1] pSwitch_Latency(13) 

20161122:11413681 |[UPDATE][pSwitch1] pSwitch_Latency(10) 

20161122:11413681 |[UPDATE][pSwitch1] pSwitch_Latency(12) 

20161122:11413681 |[UPDATE][pSwitch1] pSwitch_Latency(12) 

20161122:11413681 |[UPDATE][pSwitch1] pSwitch_Latency(12) 

20161122:11413681 |[UPDATE][pSwitch1] pSwitch_Latency(13) 

20161122:11413681 |[UPDATE][pSwitch1] pSwitch_Latency(13) 

20161122:11413681 |[UPDATE][pSwitch1] pSwitch_Latency(12) 

20161122:11413684 |[UPDATE][pSwitch2] pSwitch_Latency(11) 

20161122:11413684 |[UPDATE][pSwitch2] pSwitch_Latency(11) 

20161122:11413684 |[UPDATE][pSwitch2] pSwitch_Latency(10) 

20161122:11413684 |[UPDATE][pSwitch2] pSwitch_Latency(13) 

20161122:11413684 |[UPDATE][pSwitch2] pSwitch_Latency(10) 

20161122:11413684 |[UPDATE][pSwitch2] pSwitch_Latency(11) 

20161122:11413684 |[UPDATE][pSwitch2] pSwitch_Latency(12) 

20161122:11413684 |[UPDATE][pSwitch2] pSwitch_Latency(11) 

20161122:11413684 |[UPDATE][pSwitch2] pSwitch_Latency(11) 

20161122:11413684 |[UPDATE][pSwitch2] pSwitch_Latency(11) 

20161122:11413684 |[UPDATE][pSwitch2] pSwitch_Latency(10) 

20161122:11413684 |[UPDATE][pSwitch2] pSwitch_Latency(13) 

20161122:11423681 |[UPDATE][pSwitch1] pSwitch_Latency(12) 

20161122:11423681 |[UPDATE][pSwitch1] pSwitch_Latency(12) 

20161122:11423681 |[UPDATE][pSwitch1] pSwitch_Latency(13) 

20161122:11423681 |[UPDATE][pSwitch1] pSwitch_Latency(11) 

20161122:11423681 |[UPDATE][pSwitch1] pSwitch_Latency(11) 

20161122:11423681 |[UPDATE][pSwitch1] pSwitch_Latency(12) 

20161122:11423681 |[UPDATE][pSwitch1] pSwitch_Latency(11) 

